,last_name,first_name,middle_name,suffix,nickname,full_name,race_ethnic_group,gender,type,state,birthday
68,DeFazio,Peter,A.,,,Peter A. DeFazio,WO,M,rep,OR,1947-05-27
69,DeGette,Diana,L.,,,Diana DeGette,WO,F,rep,CO,1957-07-29
70,DeLauro,Rosa,L.,,,Rosa L. DeLauro,WO,F,rep,CT,1943-03-02
71,DesJarlais,Scott,,,,Scott DesJarlais,WO,M,rep,TN,1964-02-21
72,Deutch,Theodore,E.,,Ted,Theodore E. Deutch,WO,M,rep,FL,1966-05-07
73,Diaz-Balart,Mario,,,,Mario Diaz-Balart,HA,M,rep,FL,1961-09-25
74,Doggett,Lloyd,A.,,,Lloyd Doggett,WO,M,rep,TX,1946-10-06
75,Doyle,Michael,F.,,,Michael F. Doyle,WO,M,rep,PA,1953-08-05
76,Duncan,Jeff,,,,Jeff Duncan,WO,M,rep,SC,1966-01-07
77,Eshoo,Anna,G.,,,Anna G. Eshoo,WO,F,rep,CA,1942-12-13
78,Fleischmann,Charles,J.,,Chuck,"Charles J. ""Chuck"" Fleischmann",WO,M,rep,TN,1962-10-11
79,Fortenberry,Jeff,Lane,,,Jeff Fortenberry,WO,M,rep,NE,1960-12-27
80,Foxx,Virginia,,,,Virginia Foxx,WO,F,rep,NC,1943-06-29
81,Garamendi,John,,,,John Garamendi,HA,M,rep,CA,1945-01-24
82,Gibbs,Bob,,,,Bob Gibbs,WO,M,rep,OH,1954-06-14
83,Gohmert,Louie,B.,Jr.,,Louie Gohmert,WO,M,rep,TX,1953-08-18
84,Gosar,Paul,A.,,,Paul A. Gosar,WO,M,rep,AZ,1958-11-22
85,Granger,Kay,,,,Kay Granger,WO,F,rep,TX,1943-01-18
86,Grassley,Charles,E.,,Chuck,Chuck Grassley,WO,M,sen,IA,1933-09-17
87,Graves,Sam,B.,,,Sam Graves,WO,M,rep,MO,1963-11-07
88,Green,Al,,,,Al Green,AF,M,rep,TX,1947-09-01
89,Griffith,H.,Morgan,,,H. Morgan Griffith,WO,M,rep,VA,1958-03-15
90,Grijalva,Raúl,M.,,,Raúl M. Grijalva,HA,M,rep,AZ,1948-02-19
91,Guthrie,Brett,,,,Brett Guthrie,WO,M,rep,KY,1964-02-18
92,Harris,Andy,,,,Andy Harris,WO,M,rep,MD,1957-01-25
93,Hartzler,Vicky,,,,Vicky Hartzler,WO,F,rep,MO,1960-10-13
94,Heinrich,Martin,,,,Martin Heinrich,WO,M,sen,NM,1971-10-17
95,Herrera Beutler,Jaime,,,,Jaime Herrera Beutler,HA,F,rep,WA,1978-11-03
96,Higgins,Brian,M.,,,Brian Higgins,WO,M,rep,NY,1959-10-06
97,Himes,James,A.,,Jim,James A. Himes,WO,M,rep,CT,1966-07-05
98,Hirono,Mazie,K.,,,Mazie K. Hirono,AS,F,sen,HI,1947-11-03
99,Hoeven,John,,,,John Hoeven,WO,M,sen,ND,1957-03-13
100,Hoyer,Steny,H.,,,Steny H. Hoyer,WO,M,rep,MD,1939-06-14
101,Huizenga,Bill,,,,Bill Huizenga,WO,M,rep,MI,1969-01-31
102,Jackson Lee,Sheila,,,,Sheila Jackson Lee,AF,F,rep,TX,1950-01-12
103,Johnson,Bill,,,,Bill Johnson,WO,M,rep,OH,1954-11-10
104,Johnson,Eddie,Bernice,,,Eddie Bernice Johnson,AF,F,rep,TX,1935-12-03
105,Johnson,Henry,C.,Jr.,Hank,"Henry C. ""Hank"" Johnson, Jr.",AF,M,rep,GA,1954-10-02
106,Johnson,Ron,,,,Ron Johnson,WO,M,sen,WI,1955-04-08
107,Jordan,Jim,,,,Jim Jordan,WO,M,rep,OH,1964-02-17
108,Kaptur,Marcy,,,,Marcy Kaptur,WO,F,rep,OH,1946-06-17
109,Keating,William,R.,,,William R. Keating,WO,M,rep,MA,1952-09-06
110,Kelly,Mike,,,,Mike Kelly,WO,M,rep,PA,1948-05-10
111,Kind,Ron,James,,,Ron Kind,WO,M,rep,WI,1963-03-16
112,Kinzinger,Adam,,,,Adam Kinzinger,WO,M,rep,IL,1978-02-27
113,Lamborn,Doug,,,,Doug Lamborn,WO,M,rep,CO,1954-05-24
114,Langevin,James,R.,,Jim,James R. Langevin,WO,M,rep,RI,1964-04-22
115,Lankford,James,,,,James Lankford,WO,M,sen,OK,1968-03-04
116,Larsen,Rick,,,,Rick Larsen,WO,M,rep,WA,1965-06-15
117,Larson,John,B.,,,John B. Larson,WO,M,rep,CT,1948-07-22
118,Latta,Robert,E.,,,Robert E. Latta,WO,M,rep,OH,1956-04-18
119,Leahy,Patrick,J.,,,Patrick J. Leahy,WO,M,sen,VT,1940-03-31
120,Lee,Barbara,,,,Barbara Lee,AF,F,rep,CA,1946-07-16
121,Lee,Mike,,,,Mike Lee,WO,M,sen,UT,1971-06-04
122,Lofgren,Zoe,,,,Zoe Lofgren,WO,F,rep,CA,1947-12-21
123,Long,Billy,,,,Billy Long,WO,M,rep,MO,1955-08-11
124,Lucas,Frank,D.,,,Frank D. Lucas,WO,M,rep,OK,1960-01-06
125,Luetkemeyer,Blaine,,,,Blaine Luetkemeyer,WO,M,rep,MO,1952-05-07
126,Luján,Ben,Ray,,,Ben Ray Luján,HA,M,sen,NM,1972-06-07
127,Lynch,Stephen,F.,,,Stephen F. Lynch,WO,M,rep,MA,1955-03-31
128,Maloney,Carolyn,B.,,,Carolyn B. Maloney,WO,F,rep,NY,1946-02-19
129,Markey,Edward,J.,,Ed,Edward J. Markey,WO,M,sen,MA,1946-07-11
130,Matsui,Doris,O.,,,Doris O. Matsui,AS,F,rep,CA,1944-09-25
131,McCarthy,Kevin,,,,Kevin McCarthy,WO,M,rep,CA,1965-01-26
132,McCaul,Michael,T.,,,Michael T. McCaul,WO,M,rep,TX,1962-01-14
133,McClintock,Tom,,,,Tom McClintock,WO,M,rep,CA,1956-07-10
134,McCollum,Betty,Louise,,,Betty McCollum,WO,F,rep,MN,1954-07-12
135,McGovern,James,P.,,Jim,James P. McGovern,WO,M,rep,MA,1959-11-20
136,McHenry,Patrick,T.,,,Patrick T. McHenry,WO,M,rep,NC,1975-10-22
137,McKinley,David,B.,,,David B. McKinley,WO,M,rep,WV,1947-03-28
138,Rodgers,Cathy,McMorris,,,Cathy McMorris Rodgers,WO,F,rep,WA,1969-05-22
139,McNerney,Jerry,,,,Jerry McNerney,WO,M,rep,CA,1951-06-18
140,Meeks,Gregory,W.,,,Gregory W. Meeks,AF,M,rep,NY,1953-09-25
141,Moore,Gwen,,,,Gwen Moore,AF,F,rep,WI,1951-04-18
142,Moran,Jerry,,,,Jerry Moran,WO,M,sen,KS,1954-05-29
143,Murkowski,Lisa,A.,,,Lisa Murkowski,WO,F,sen,AK,1957-05-22
144,Murphy,Christopher,S.,,,Christopher Murphy,WO,M,sen,CT,1973-08-03
145,Murray,Patty,,,,Patty Murray,WO,F,sen,WA,1950-10-11
146,Nadler,Jerrold,L.,,,Jerrold Nadler,WO,M,rep,NY,1947-06-13
147,Napolitano,Grace,F.,,,Grace F. Napolitano,HA,F,rep,CA,1936-12-04
148,Neal,Richard,E.,,,Richard E. Neal,WO,M,rep,MA,1949-02-14
149,Norton,Eleanor,Holmes,,,Eleanor Holmes Norton,AF,F,rep,DC,1937-06-13
150,Palazzo,Steven,M.,,,Steven M. Palazzo,WO,M,rep,MS,1970-02-21
151,Pallone,Frank,J.,Jr.,,"Frank Pallone, Jr.",WO,M,rep,NJ,1951-10-30
152,Pascrell,Bill,J.,Jr.,,"Bill Pascrell, Jr.",WO,M,rep,NJ,1937-01-25
153,Paul,Rand,,,,Rand Paul,WO,M,sen,KY,1963-01-07
154,Pelosi,Nancy,,,,Nancy Pelosi,WO,F,rep,CA,1940-03-26
155,Perlmutter,Ed,,,,Ed Perlmutter,WO,M,rep,CO,1953-05-01
156,Peters,Gary,C.,,,Gary C. Peters,WO,M,sen,MI,1958-12-01
157,Pingree,Chellie,,,,Chellie Pingree,WO,F,rep,ME,1955-04-02
158,Portman,Robert,J.,,Rob,Rob Portman,WO,M,sen,OH,1955-12-19
159,Posey,Bill,,,,Bill Posey,WO,M,rep,FL,1947-12-18
160,Price,David,E.,,,David E. Price,WO,M,rep,NC,1940-08-17
161,Quigley,Mike,,,,Mike Quigley,WO,M,rep,IL,1958-10-17
162,Reed,Tom,W.,,,Tom Reed,WO,M,rep,NY,1971-11-18
163,Rogers,Harold,,,Hal,Harold Rogers,WO,M,rep,KY,1937-12-31
164,Rogers,Mike,,,,Mike Rogers,WO,M,rep,AL,1958-07-16
165,Roybal-Allard,Lucille,,,,Lucille Roybal-Allard,HA,F,rep,CA,1941-06-12
166,Rubio,Marco,,,,Marco Rubio,HA,M,sen,FL,1971-05-28
167,Ruppersberger,C.,A. Dutch,,,C. A. Dutch Ruppersberger,WO,M,rep,MD,1946-01-31
168,Rush,Bobby,L.,,,Bobby L. Rush,AF,M,rep,IL,1946-11-23
169,Ryan,Tim,J.,,,Tim Ryan,WO,M,rep,OH,1973-07-16
170,Sablan,Gregorio,Kilili Camacho,,,Gregorio Kilili Camacho Sablan,"HA, AS",M,rep,MP,1955-01-19
171,Sarbanes,John,P.,,,John P. Sarbanes,WO,M,rep,MD,1962-05-22
172,Scalise,Steve,Joseph,,,Steve Scalise,WO,M,rep,LA,1965-10-06
173,Schakowsky,Janice,D.,,Jan,Janice D. Schakowsky,WO,F,rep,IL,1944-05-26
174,Schiff,Adam,B.,,,Adam B. Schiff,WO,M,rep,CA,1960-06-22
175,Schrader,Kurt,,,,Kurt Schrader,WO,M,rep,OR,1951-10-19
176,Schumer,Charles,E.,,Chuck,Charles E. Schumer,WO,M,sen,NY,1950-11-23
177,Schweikert,David,,,,David Schweikert,WO,M,rep,AZ,1962-03-03
178,Scott,Austin,,,,Austin Scott,WO,M,rep,GA,1969-12-10
179,Scott,David,,,,David Scott,AF,M,rep,GA,1945-06-27
180,Scott,Robert,C.,,Bobby,"Robert C. ""Bobby"" Scott","AS, AF",M,rep,VA,1947-04-30
181,Scott,Tim,,,,Tim Scott,AF,M,sen,SC,1965-09-19
182,Sewell,Terri,A.,,,Terri Sewell,AF,F,rep,AL,1965-01-01
183,Shelby,Richard,C.,,,Richard C. Shelby,WO,M,sen,AL,1934-05-06
184,Sherman,Brad,J.,,,Brad Sherman,WO,M,rep,CA,1954-10-24
185,Simpson,Michael,K.,,Mike,Michael K. Simpson,WO,M,rep,ID,1950-09-08
186,Sires,Albio,,,,Albio Sires,HA,M,rep,NJ,1951-01-26
187,Smith,Adam,,,,Adam Smith,WO,M,rep,WA,1965-06-15
188,Smith,Adrian,,,,Adrian Smith,WO,M,rep,NE,1970-12-19
189,Smith,Christopher,H.,,Chris,Christopher H. Smith,WO,M,rep,NJ,1953-03-04
190,Speier,Jackie,,,,Jackie Speier,WO,F,rep,CA,1950-05-14
191,Sánchez,Linda,T.,,,Linda T. Sánchez,HA,F,rep,CA,1969-01-28
192,Thompson,Bennie,G.,,,Bennie G. Thompson,AF,M,rep,MS,1948-01-28
193,Thompson,Mike,Michael,,,Mike Thompson,WO,M,rep,CA,1951-01-24
194,Thompson,Glenn,,,,Glenn Thompson,WO,M,rep,PA,1959-07-27
195,Thune,John,,,,John Thune,WO,M,sen,SD,1961-01-07
196,Tonko,Paul,,,,Paul Tonko,WO,M,rep,NY,1949-06-18
197,Toomey,Patrick,J.,,Pat,Patrick J. Toomey,WO,M,sen,PA,1961-11-17
198,Turner,Michael,R.,,,Michael R. Turner,WO,M,rep,OH,1960-01-11
199,Upton,Fred,Stephen,,,Fred Upton,WO,M,rep,MI,1953-04-23
200,Van Hollen,Chris,,,,Chris Van Hollen,WO,M,sen,MD,1959-01-10
201,Velázquez,Nydia,M.,,,Nydia M. Velázquez,HA,F,rep,NY,1953-03-28
202,Walberg,Tim,,,,Tim Walberg,WO,M,rep,MI,1951-04-12
203,Wasserman Schultz,Debbie,,,,Debbie Wasserman Schultz,WO,F,rep,FL,1966-09-27
204,Waters,Maxine,,,,Maxine Waters,AF,F,rep,CA,1938-08-15
205,Webster,Daniel,,,,Daniel Webster,WO,M,rep,FL,1949-04-27
206,Welch,Peter,,,,Peter Welch,WO,M,rep,VT,1947-05-02
207,Wilson,Joe,G.,,,Joe Wilson,WO,M,rep,SC,1947-07-31
208,Wilson,Frederica,S.,,,Frederica S. Wilson,AF,F,rep,FL,1942-11-05
209,Wittman,Robert,J.,,,Robert J. Wittman,WO,M,rep,VA,1959-02-03
210,Womack,Steve,,,,Steve Womack,WO,M,rep,AR,1957-02-18
211,Wyden,Ron,,,,Ron Wyden,WO,M,sen,OR,1949-05-03
212,Yarmuth,John,A.,,,John A. Yarmuth,WO,M,rep,KY,1947-11-04
213,Young,Don,E.,,,Don Young,WO,M,rep,AK,1933-06-09
214,Young,Todd,C.,,,Todd Young,WO,M,sen,IN,1972-08-24
215,Amodei,Mark,E.,,,Mark E. Amodei,WO,M,rep,NV,1958-06-12
216,Bonamici,Suzanne,,,,Suzanne Bonamici,WO,F,rep,OR,1954-10-14
217,DelBene,Suzan,K.,,,Suzan K. DelBene,WO,F,rep,WA,1962-02-17
218,Massie,Thomas,,,,Thomas Massie,WO,M,rep,KY,1971-01-13
219,Payne,Donald,M.,Jr.,,"Donald M. Payne, Jr.",AF,M,rep,NJ,1958-12-17
220,Schatz,Brian,Emanuel,,,Brian Schatz,WO,M,sen,HI,1972-10-20
221,Foster,Bill,,,,Bill Foster,WO,M,rep,IL,1955-10-07
222,Titus,Dina,,,,Dina Titus,WO,F,rep,NV,1950-05-23
223,Cotton,Tom,,,,Tom Cotton,WO,M,sen,AR,1977-05-13
224,Sinema,Kyrsten,,,,Kyrsten Sinema,WO,F,sen,AZ,1976-07-12
225,LaMalfa,Doug,,,,Doug LaMalfa,WO,M,rep,CA,1960-07-02
226,Huffman,Jared,,,,Jared Huffman,WO,M,rep,CA,1964-02-18
227,Bera,Ami,,,,Ami Bera,AS,M,rep,CA,1965-03-02
228,Swalwell,Eric,,,,Eric Swalwell,WO,M,rep,CA,1980-11-16
229,Brownley,Julia,,,,Julia Brownley,WO,F,rep,CA,1952-08-28
230,Cárdenas,Tony,,,,Tony Cárdenas,HA,M,rep,CA,1963-03-31
231,Ruiz,Raul,,,,Raul Ruiz,HA,M,rep,CA,1972-08-25
232,Takano,Mark,,,,Mark Takano,AS,M,rep,CA,1960-12-10
233,Lowenthal,Alan,S.,,,Alan S. Lowenthal,WO,M,rep,CA,1941-03-08
234,Vargas,Juan,,,,Juan Vargas,HA,M,rep,CA,1961-03-07
235,Peters,Scott,H.,,,Scott H. Peters,WO,M,rep,CA,1958-06-17
236,Frankel,Lois,,,,Lois Frankel,WO,F,rep,FL,1948-05-16
237,Duckworth,Tammy,,,,Tammy Duckworth,AS,F,sen,IL,1968-03-12
238,Davis,Rodney,,,,Rodney Davis,WO,M,rep,IL,1970-01-05
239,Bustos,Cheri,,,,Cheri Bustos,WO,F,rep,IL,1961-10-17
240,Walorski,Jackie,,,,Jackie Walorski,WO,F,rep,IN,1963-08-17
241,Barr,Garland,,,Andy,Andy Barr,WO,M,rep,KY,1973-07-24
242,Warren,Elizabeth,,,,Elizabeth Warren,WO,F,sen,MA,1949-06-22
243,King,Angus,S.,Jr.,,"Angus S. King, Jr.",WO,M,sen,ME,1944-03-31
244,Kildee,Daniel,T.,,,Daniel T. Kildee,WO,M,rep,MI,1958-08-11
245,Wagner,Ann,,,,Ann Wagner,WO,F,rep,MO,1962-09-13
246,Daines,Steve,,,,Steve Daines,WO,M,sen,MT,1962-08-20
247,Hudson,Richard,,,,Richard Hudson,WO,M,rep,NC,1971-11-04
248,Cramer,Kevin,,,,Kevin Cramer,WO,M,sen,ND,1961-01-21
249,Fischer,Deb,,,,Deb Fischer,WO,F,sen,NE,1951-03-01
250,Kuster,Ann,M.,,,Ann Kuster,WO,F,rep,NH,1956-09-05
251,Meng,Grace,,,,Grace Meng,AS,F,rep,NY,1975-10-01
252,Jeffries,Hakeem,S.,,,Hakeem S. Jeffries,AF,M,rep,NY,1970-08-04
253,Maloney,Sean,Patrick,,,Sean Patrick Maloney,WO,M,rep,NY,1966-07-30
254,Wenstrup,Brad,R.,,,Brad R. Wenstrup,WO,M,rep,OH,1958-06-17
255,Beatty,Joyce,,,,Joyce Beatty,AF,F,rep,OH,1950-03-12
256,Joyce,David,P.,,,David P. Joyce,WO,M,rep,OH,1957-03-17
257,Mullin,Markwayne,,,,Markwayne Mullin,IA,M,rep,OK,1977-07-26
258,Perry,Scott,,,,Scott Perry,WO,M,rep,PA,1962-05-27
259,Cartwright,Matthew,A.,,Matt,Matt Cartwright,WO,M,rep,PA,1961-05-01
260,Rice,Tom,,,,Tom Rice,WO,M,rep,SC,1957-08-04
261,Cruz,Ted,,,,Ted Cruz,HA,M,sen,TX,1970-12-22
262,Weber,Randy,K.,Sr.,,"Randy K. Weber, Sr.",WO,M,rep,TX,1953-07-02
263,Castro,Joaquin,,,,Joaquin Castro,HA,M,rep,TX,1974-09-16
264,Williams,Roger,,,,Roger Williams,WO,M,rep,TX,1949-09-13
265,Veasey,Marc,A.,,,Marc A. Veasey,AF,M,rep,TX,1971-01-03
266,Vela,Filemon,,,,Filemon Vela,HA,M,rep,TX,1963-02-13
267,Stewart,Chris,,,,Chris Stewart,WO,M,rep,UT,1960-07-15
268,Kaine,Timothy,,,Tim,Tim Kaine,WO,M,sen,VA,1958-02-26
269,Kilmer,Derek,,,,Derek Kilmer,WO,M,rep,WA,1974-01-01
270,Pocan,Mark,,,,Mark Pocan,WO,M,rep,WI,1964-08-14
271,Kelly,Robin,L.,,,Robin L. Kelly,AF,F,rep,IL,1956-04-30
272,Smith,Jason,T.,,,Jason Smith,WO,M,rep,MO,1980-06-16
273,Booker,Cory,Anthony,,,Cory A. Booker,AF,M,sen,NJ,1969-04-27
274,Clark,Katherine,M.,,,Katherine M. Clark,WO,F,rep,MA,1963-07-17
275,Norcross,Donald,W.,,,Donald Norcross,WO,M,rep,NJ,1958-12-13
276,Adams,Alma,S.,,,Alma S. Adams,AF,F,rep,NC,1946-05-27
277,Palmer,Gary,J.,,,Gary J. Palmer,WO,M,rep,AL,1954-05-14
278,Hill,J.,French,,,J. Hill,WO,M,rep,AR,1956-12-05
279,Westerman,Bruce,,,,Bruce Westerman,WO,M,rep,AR,1967-11-18
280,Gallego,Ruben,,,,Ruben Gallego,HA,M,rep,AZ,1979-11-20
281,DeSaulnier,Mark,,,,Mark DeSaulnier,WO,M,rep,CA,1952-03-31
282,Aguilar,Pete,,,,Pete Aguilar,HA,M,rep,CA,1979-06-19
283,Lieu,Ted,,,,Ted Lieu,AS,M,rep,CA,1969-03-29
284,Torres,Norma,J.,,,Norma J. Torres,HA,F,rep,CA,1965-04-04
285,Buck,Ken,,,,Ken Buck,WO,M,rep,CO,1959-02-16
286,Carter,Earl,L.,,Buddy,"Earl L. ""Buddy"" Carter",WO,M,rep,GA,1957-09-06
287,Hice,Jody,B.,,,Jody B. Hice,WO,M,rep,GA,1960-04-22
288,Loudermilk,Barry,,,,Barry Loudermilk,WO,M,rep,GA,1963-12-22
289,Allen,Rick,W.,,,Rick W. Allen,WO,M,rep,GA,1951-11-07
290,Bost,Mike,,,,Mike Bost,WO,M,rep,IL,1960-12-30
291,Graves,Garret,,,,Garret Graves,WO,M,rep,LA,1972-01-31
292,Moulton,Seth,,,,Seth Moulton,WO,M,rep,MA,1978-10-24
293,Moolenaar,John,R.,,,John R. Moolenaar,WO,M,rep,MI,1961-05-08
294,Dingell,Debbie,,,,Debbie Dingell,WO,F,rep,MI,1953-11-23
295,Lawrence,Brenda,L.,,,Brenda L. Lawrence,AF,F,rep,MI,1954-10-18
296,Emmer,Tom,,,,Tom Emmer,WO,M,rep,MN,1961-03-03
297,Rouzer,David,,,,David Rouzer,WO,M,rep,NC,1972-02-16
298,Watson Coleman,Bonnie,,,,Bonnie Watson Coleman,AF,F,rep,NJ,1945-02-06
299,Zeldin,Lee,M.,,,Lee M. Zeldin,WO,M,rep,NY,1980-01-30
300,Rice,Kathleen,M.,,,Kathleen M. Rice,WO,F,rep,NY,1965-02-15
301,Stefanik,Elise,M.,,,Elise M. Stefanik,WO,F,rep,NY,1984-07-02
302,Katko,John,,,,John Katko,WO,M,rep,NY,1962-11-09
303,Boyle,Brendan,F.,,,Brendan F. Boyle,WO,M,rep,PA,1977-02-06
304,Babin,Brian,,,,Brian Babin,WO,M,rep,TX,1948-03-23
305,Beyer,Donald,S.,Jr.,,"Donald S. Beyer, Jr.",WO,M,rep,VA,1950-06-20
306,Plaskett,Stacey,E.,,,Stacey E. Plaskett,AF,F,rep,VI,1966-05-13
307,Newhouse,Dan,,,,Dan Newhouse,WO,M,rep,WA,1955-07-10
308,Grothman,Glenn,,,,Glenn Grothman,WO,M,rep,WI,1955-07-03
309,Mooney,Alexander,X.,,,Alexander Mooney,HA,M,rep,WV,1971-06-05
310,Radewagen,Aumua Amata,Coleman,,,Aumua Amata Coleman Radewagen,AS,F,rep,AS,1947-12-29
311,Sullivan,Dan,,,,Dan Sullivan,WO,M,sen,AK,1964-11-13
312,Ernst,Joni,,,,Joni Ernst,WO,F,sen,IA,1970-07-01
313,Tillis,Thom,,,,Thom Tillis,WO,M,sen,NC,1960-08-30
314,Rounds,Mike,,,,Mike Rounds,WO,M,sen,SD,1954-10-24
315,Sasse,Benjamin,Eric,,Ben,Ben Sasse,WO,M,sen,NE,1972-02-22
316,Kelly,Trent,,,,Trent Kelly,WO,M,rep,MS,1966-03-01
317,LaHood,Darin,,,,Darin LaHood,WO,M,rep,IL,1968-07-05
318,Davidson,Warren,,,,Warren Davidson,WO,M,rep,OH,1970-03-01
319,Comer,James,,,,James Comer,WO,M,rep,KY,1972-08-19
320,Evans,Dwight,,,,Dwight Evans,AF,M,rep,PA,1954-05-16
